Number;Serial_number;Production;Deployment;Chip;Tag;Old_collar;Canyon;Group;Sex;Birth;Weight;Body_length;SMI;David_score;Normalized_David_score;Social_status;Date_on;Date_off;Total_offset;Daily_offset;Data_points;Last_record;Dead_battery;Refurbished;Lost;Comments
53;8447;2018;2018;187214;BF;Yael5;David;Hill;F;2009;NA;;;;;F;15/05/2018 10:00;05/06/2019 09:00;;;;;No;No;No;
95;8499;2019;2019;187214;B1;BF;David;Hill;F;2009;2.15;;;;;F;05/06/2019 09:00;;;;;;No;No;No;
13;8417;2017;2017;202000;NP;B9;David;Hill;F;<2010;1.95;40;1.45909733018672;9.1202380952381;14.3144909688013;F;05/06/2017 09:15;18/08/2017 08:45;-16;-0,216277105;1634;NA;No;No;No;
33;8437;2017;2017;202119;KU;L7;Arugot;Isiim;F;2013;2.55;38.5;2.17586306965811;3.16666666666667;15.1021505376344;F;17/05/2017 12:30;15/11/2017 09:00;-117;-0,643372666;8087;NA;No;No;No;
78;8472;2018;2018;202119;KB;KU;Arugot;Isiim;F;2013;2.645;;;;;F;17/04/2018 14:00;10/03/2019 11:00;1754458;5367,36673;10761;13/01/2019 05:53;Yes;No;No;
101;8505;2018;2019;202119;K3;KB;Arugot;Isiim;F;2013;2.95;;;;;F;10/03/2019 11:00;;;;;;No;No;No;
24;8428;2017;2017;202177;BL;None;Arugot;Isiim;F;2014;2.4;39.5;1.85155097707504;2.875;15.0927419354839;F;17/05/2017 18:35;20/03/2018 11:00;-1638580;-5342,893179;9135;07/02/2018 13:59;Yes;No;No;Battery dead since 7th of February 2018
66;8460;2018;2018;202177;GZ;GO;Arugot;Isiim;F;2014;2.5;;;;;F;06/08/2018 10:00;06/03/2019 10:00;204;0,962264151;9019;NA;No;No;No;
67;8461;2018;2018;202177;GO;BL;Arugot;Isiim;F;2014;2.50;;;;;F;24/04/2018 14:00;06/08/2018 10:00;-64;-0,616372392;4617;NA;No;No;No;
94;8498;2019;2019;202177;G1;GZ;Arugot;Isiim;F;2014;3.1;;;;;F;06/03/2019 12:00;;;;;;No;No;No;
51;8445;2018;2018;202285;HP;Yael10;David;Window;F;2013;NA;;;;;F;03/05/2018 10:30;;;;;;No;No;No;
5;8409;2017;2017;202523;QY;None;David;Window;M;2015;2.05;;;-2.17857142857143;13.9248768472906;BM;11/06/2017 19:22;NA;NA;NA;NA;NA;No;No;Yes;Lost its collar
27;8431;2017;2017;203046;HL;C0;Arugot;Cube;F;<2013;2.6;33;2.866005;5.30357142857143;15.1710829493088;F;20/04/2017 17:00;NA;NA;NA;NA;NA;No;No;No;
7;8411;2017;2017;203123;ZK;Y2;Arugot;Bachelor;M;2011;3.4;29;5.39437086026922;NA;NA;BM;10/05/2017 10:55;18/08/2017 09:00;7;0,070055947;513;NA;No;No;No;
15;8419;2017;2018;203140;NX;W9;Arugot;Bachelor;M;2015;2.8;;;;;BM;10/04/2018 18:00;03/11/2019 15:00;2093879;3661,42776;4297;22/11/2018 02:19;Yes;Yes;No;
96;8500;2019;2019;203140;N8;NX;Arugot;Bachelor;M;2015;2.8;;;;;BM;11/03/2019 15:00;;;;;;No;No;No;
9;8413;2017;2017;203478;TD;F1;David;Hill;F;2012;2;36;1.93316925317468;6.1202380952381;14.2110426929392;F;05/06/2017 09:57;24/04/2018 10:30;-52023;-161,0504931;5752;08/03/2018 18:39;Yes;No;No;
75;8469;2018;2018;203478;FO;TD;David;Hill;F;2012;NA;;;;;F;03/05/2018 10:30;;;;;;No;No;No;
4;8408;2017;2017;203581;HW;None;Arugot;Isiim;M;2005;3.1;46;1.678283;1.20833333333333;15.0389784946237;RM;15/05/2017 11:30;09/05/2018 10:30;1174498;3271,961927;11293;09/02/2018 03:37;Yes;No;No;
77;8471;2018;2018;203581;MY;HW;Arugot;Isiim;M;2005;3.05;;;;;RM;25/06/2018 10:00;07/08/2018 10:00;4;0,093023256;2879;NA;No;No;No;
29;8433;2017;2017;203694;XF;Z5;Arugot;Cube;M;2010;2.96;33.5;3.108562;5.13095238095238;15.1655145929339;RM;18/04/2017 11:35;13/08/2017 07:00;-75;-0,64207366;4988;NA;No;No;No;
37;8441;2017;2018;203694;WD;XF;Arugot;Cube;M;2010;2.9;;;;;RM;06/08/2018 10:00;06/03/2019 10:00;1754877;8277,721698;214;14/11/2018 13:33;Yes;Yes;No;
72;8466;2018;2018;203694;XF;Z5;Arugot;Cube;M;2010;2.9;;;;;RM;08/04/2018 10:30;NA;NA;NA;NA;27/04/2018 08:00;No;No;Yes;Oberved without its collar, 27th of April 2018
99;8503;2019;2019;203694;R5;WD;Arugot;Cube;M;2010;2.8;;;;;RM;06/03/2019 17:00;;;;;;No;No;No;
36;8440;2017;2017;203770;JA;None;David;Window;F;2014;1.85;38.5;1.518999;-2.875;13.9008620689655;F;05/06/2017 09:00;23/04/2018 10:30;-51774;-160,7576169;7342;11/03/2018 08:38;Yes;No;No;
76;8470;2018;2018;203770;JW;JA;David;Window;F;2014;NA;;;;;F;30/04/2018 10:30;16/08/2018 10:00;95;0,879799344;2571;NA;No;No;No;
110;8514;2019;2019;203770;L8;None;David;Window;F;2014;2.35;;;;;F;26/03/2019 12:30;05/08/2020 12:00;821580;;8000;17/12/2019 04:09:09;No;No;No;
22;8426;2017;2017;203820;PS;K9;Arugot;Sukkot;F;<2012;2.475;44.4;1.437112;-2.60833333333333;14.9158602150538;F;29/05/2017 19:43;01/01/2018 12:00;-2117438;-9772,258306;1073;28/06/2017 06:52;Yes;No;No;Retreived in January 2018, upper pools, Arugot
17;8421;2017;2017;203828;NU;None;Arugot;Sukkot;F;2012;2.3;41.5;1.573717;6.28333333333333;15.202688172043;F;21/04/2017 17:00;;;;;;No;No;No;
39;8443;2017;2017;203847;PT;None;Arugot;Bachelor;M;2013;2.95;35;2.277153;-1.61309523809524;14.9479646697389;BM;18/04/2017 10:30;17/11/2017 09:00;-77;-0,361608453;158;NA;No;No;No;
39;8443;2017;2018;203847;PT;TP;Arugot;Bachelor;M;2013;2.25;;;;;BM;06/08/2018 10:00;14/03/2019 12:30;2094617;9516,480454;16;30/08/2018 12:15;Yes;Yes;No;
73;8467;2018;2018;203847;TP;PT;Arugot;Bachelor;M;2013;2.25;;;;;BM;17/04/2018 14:00;06/08/2018 10:00;61;0,55037594;13;NA;No;No;No;
103;8507;2019;2019;203847;P1;PT;Arugot;Bachelor;M;2013;2.65;;;;;BM;13/03/2019 12:30;;;;;;No;No;No;
19;8423;2017;2017;204390;KS;J0;David;Window;F;2012;2.2;41;1.55029179859033;7.625;14.2629310344828;F;05/06/2017 11:21;22/08/2017 09:00;42;0,539138341;1330;NA;No;No;No;
33;8437;2017;2018;204390;KU;KS;David;Window;F;2012;NA;;;;;F;14/08/2018 10:00;20/03/2019 10:00;-1332903;-6114,233945;1379;17/09/2018 18:22;Yes;Yes;No;
54;8448;2018;2018;204390;KS;KS;David;Window;F;2012;NA;;;;;F;30/04/2018 10:30;14/08/2018 10:00;33;0,311381954;2443;NA;No;No;No;
113;8517;2019;2019;204390;K4;KU;David;Window;F;2012;NA;;;;;F;20/03/2019 11:46;20/08/2019 10:00;-129;-0,843543099;2263;NA;No;No;No;
115;8519;2019;2019;204390;E5;K4;David;Window;F;2012;2.2;;;;;F;20/08/2019 10:00;05/04/2020 10:00;3461;15,11353712;4940;05/03/2020 15:43;No;No;No;
25916;25916;2020;2020;204390;EX;E5;David;Window;F;2012;2.45;;;;;F;05/04/2020 10:15;15/04/2020 10:00;NA;NA;NA;NA;No;No;No;RYR
25925;25925;2020;2020;204390;AS;EX;David;Window;F;2012;2.45;;;;;F;15/04/2020 10:00;;;;;;No;No;No;GRR
8;8412;2017;2017;204399;DB;G3;Arugot;Cube;F;2010;2.67;35;2.898194;0.416666666666667;15.0134408602151;F;18/04/2017 11:00;16/04/2018 18:00;-801805;-2207,055855;8739;19/01/2018 22:17;Yes;No;No;
26;8430;2017;2017;204510;AE;Q8;Arugot;Bachelor;M;<2015;3.05;42.3;1.992271;2.40476190476191;15.0775729646697;BM;15/05/2017 10:07;16/05/2018 10:00;NA;NA;NA;05/02/2018 15:55;Yes;No;No;
74;8468;2018;2018;204510;QU;AE;Arugot;Bachelor;M;<2015;3.09;;;;;BM;16/05/2018 10:00;;;;;;No;No;No;
25938;25938;2020;2020;216851;DB;None;Arugot;Isiim;F;2018;2.15;;;;;F;07/05/2020 10:00;;;;;;No;No;No;LYY
86;8490;2019;2019;216875;M4;None;David;Bachelor;M;2016;2.9;;;;;BM;28/03/2019 12:10;;;;;;No;No;No;
20;8424;2017;2017;216893;EP;None;David;Bachelor;M;<2016;2.9;41;2.043566;-3.59404761904762;13.8760673234811;BM;16/06/2017 19:03;NA;NA;NA;NA;NA;No;No;Yes;
111;8515;2019;2019;216893;V7;EP;David;Bachelor;M;<2016;3.4;;;;;BM;28/03/2019 12:58;;;;;;No;No;No;EP collar was lost
79;8473;2018;2019;216920;GK;None;David;Window;F;2016;2.35;;;;;F;26/03/2019 13:40;;;;;;No;No;No;
32;8436;2017;2017;216956;RW;None;David;Hill;F;2014;2.1;42;1.395659;-1.53809523809524;13.9469622331691;F;06/06/2017 09:00;01/08/2018 10:00;NA;NA;5026;NA;No;No;No;
3;8407;2017;2017;216968;FJ;None;David;Window;M;<2016;3.35;46.5;1.738562;5.47916666666667;14.1889367816092;RM;05/06/2017 09:00;22/05/2018 12:00;-1743474;-4965,39409;4840;15/03/2018 14:05;Yes;No;No;Retreived in Mai 2018, Dudim cave, David
18;8435;2017;2017;216973;RF;None;Arugot;Bachelor;M;<2016;2.2;41;1.550292;NA;NA;BM;24/06/2017 10:17;;;;;;No;No;No;
25914;25914;2020;2020;216996;KT;None;Arugot;Cube;F;<2018;2.05;;;;;F;07/05/2020 10:00;;;;;;No;No;No;RBR
16;8420;2017;2018;217021;LC;None;Outside;Wolfgang;F;NA;2.95;;;;;F;NA;17/03/2020 09:45;NA;NA;NA;NA;Yes;Yes;No;Broken - Data download impossible
102;8506;2019;2020;217021;H9;LC;Outside;Wolfgang;F;NA;2.95;;;;;F;17/03/2020 09:00;;;;;;No;No;No;
23;8427;2017;2017;217145;LC;None;Arugot;Sukkot;F;<2016;2.57;44;1.525454;4.60833333333333;15.1486559139785;F;18/04/2017 13:24;23/08/2017 09:00;-28;-0,220791168;3049;NA;No;No;No;
93;8497;2019;2019;217167;T7;None;Arugot;Bachelor;M;<2017;3;;;;;BM;06/03/2019 17:00;26/05/2019 10:00;;;;;No;No;No;Death recovery
114;8518;2019;2019;217222;J4;None;David;Hill;F;<2017;1.85;;;;;F;19/09/2019 09:00;15/04/2020 10:00;-586428;-2805,316324;11458;15/04/2020 17:58;No;No;No;
25940;25940;2020;2020;217222;DI;J4;David;Hill;F;<2017;2.25;;;;;F;15/04/2020 10:00;;;;;;No;No;No;BBB
56;8450;2018;2019;217564;AC;None;Arugot;Cube;F;2017;3;;;;;F;07/03/2019 12:00;07/05/2020 10:00;-584920;-1370,103455;1094;22/11/2020 15:18;No;No;No;
