"individual1","individual2","dyad","deployment","group","retreived","sex"
"203694","204399","203694:204399",2017,"Within","2_logger","F:M"
"217145","218340","217145:218340",2017,"Between","2_logger","F:M"
"203847","204399","203847:204399",2017,"Between","2_logger","F:M"
"203046","203694","203046:203694",2017,"Within","1_logger","F:M"
"203046","204399","203046:204399",2017,"Within","1_logger","F:F"
"203847","219789","203847:219789",2017,"Within","1_logger","M:M"
"203046","203847","203046:203847",2017,"Between","1_logger","F:M"
"203828","217145","203828:217145",2017,"Within","1_logger","F:F"
"203847","218271","203847:218271",2017,"Within","2_logger","M:M"
"203694","203847","203694:203847",2017,"Between","2_logger","M:M"
"203828","218507","203828:218507",2017,"Within","1_logger","F:F"
"217145","218507","217145:218507",2017,"Within","2_logger","F:F"
"203694","219789","203694:219789",2017,"Between","1_logger","M:M"
"218271","219789","218271:219789",2017,"Within","1_logger","M:M"
"218340","219789","218340:219789",2017,"Within","1_logger","M:M"
"203694","218271","203694:218271",2017,"Between","2_logger","M:M"
"203123","203847","203123:203847",2017,"Within","2_logger","M:M"
"203123","219789","203123:219789",2017,"Within","1_logger","M:M"
"217888","218340","217888:218340",2017,"Within","2_logger","M:M"
"203847","218646","203847:218646",2017,"Between","2_logger","F:M"
"203123","218340","203123:218340",2017,"Within","2_logger","M:M"
"203581","218646","203581:218646",2017,"Within","2_logger","F:M"
"203123","204510","203123:204510",2017,"Within","2_logger","M:M"
"204399","218340","204399:218340",2017,"Between","2_logger","F:M"
"202119","218646","202119:218646",2017,"Within","2_logger","F:F"
"203581","203847","203581:203847",2017,"Between","2_logger","M:M"
"202119","202177","202119:202177",2017,"Within","2_logger","F:F"
"202177","203581","202177:203581",2017,"Within","2_logger","F:M"
"202119","203581","202119:203581",2017,"Within","2_logger","F:M"
"202177","218646","202177:218646",2017,"Within","2_logger","F:F"
"217888","219789","217888:219789",2017,"Within","1_logger","M:M"
"218646","219789","218646:219789",2017,"Between","1_logger","F:M"
"202119","204510","202119:204510",2017,"Between","2_logger","F:M"
"204510","218340","204510:218340",2017,"Within","2_logger","M:M"
"202119","218340","202119:218340",2017,"Between","2_logger","F:M"
"202119","203123","202119:203123",2017,"Between","2_logger","F:M"
"203847","218340","203847:218340",2017,"Within","2_logger","M:M"
"202119","203847","202119:203847",2017,"Between","2_logger","F:M"
"203694","218340","203694:218340",2017,"Between","2_logger","M:M"
"203694","204510","203694:204510",2017,"Between","2_logger","M:M"
"204510","217888","204510:217888",2017,"Within","2_logger","M:M"
"203123","217888","203123:217888",2017,"Within","2_logger","M:M"
"203828","218271","203828:218271",2017,"Between","1_logger","F:M"
"203123","203694","203123:203694",2017,"Between","2_logger","M:M"
"218271","218507","218271:218507",2017,"Between","2_logger","F:M"
"203820","203828","203820:203828",2017,"Within","1_logger","F:F"
"203820","218507","203820:218507",2017,"Within","2_logger","F:F"
"203820","217145","203820:217145",2017,"Within","2_logger","F:F"
"218507","219247","218507:219247",2017,"Within","1_logger","F:M"
"203820","219247","203820:219247",2017,"Within","1_logger","F:M"
"217145","219247","217145:219247",2017,"Within","1_logger","F:M"
"217145","218271","217145:218271",2017,"Between","2_logger","F:M"
"203581","218340","203581:218340",2017,"Between","2_logger","M:M"
"202000","203478","202000:203478",2017,"Within","2_logger","F:F"
"203770","216968","203770:216968",2017,"Within","2_logger","F:M"
"216968","217579","216968:217579",2017,"Within","2_logger","F:M"
"203770","217579","203770:217579",2017,"Within","2_logger","F:F"
"204390","219673","204390:219673",2017,"Between","2_logger","F:M"
"203770","204390","203770:204390",2017,"Within","2_logger","F:F"
"204390","216968","204390:216968",2017,"Within","2_logger","F:M"
"202000","216956","202000:216956",2017,"Within","2_logger","F:F"
"204390","217579","204390:217579",2017,"Within","2_logger","F:F"
"203046","218646","203046:218646",2017,"Between","1_logger","F:F"
"203478","216956","203478:216956",2017,"Within","2_logger","F:F"
"204510","219789","204510:219789",2017,"Within","1_logger","M:M"
"202177","203847","202177:203847",2017,"Between","2_logger","F:M"
"217579","219204","217579:219204",2017,"Between","2_logger","F:M"
"203770","219204","203770:219204",2017,"Between","2_logger","F:M"
"217579","219673","217579:219673",2017,"Between","2_logger","F:M"
"204390","219204","204390:219204",2017,"Between","2_logger","F:M"
"204390","216956","204390:216956",2017,"Between","2_logger","F:F"
"216956","217579","216956:217579",2017,"Between","2_logger","F:F"
"203770","216956","203770:216956",2017,"Between","2_logger","F:F"
"203581","203694","203581:203694",2017,"Between","2_logger","M:M"
"218271","219247","218271:219247",2017,"Between","1_logger","M:M"
"203820","219789","203820:219789",2017,"Between","1_logger","F:M"
"203478","219673","203478:219673",2017,"Between","2_logger","F:M"
"216968","219204","216968:219204",2017,"Between","2_logger","M:M"
"202177","218340","202177:218340",2017,"Between","2_logger","F:M"
"218340","218646","218340:218646",2017,"Between","2_logger","F:M"
"218271","218340","218271:218340",2017,"Within","2_logger","M:M"
"203046","204510","203046:204510",2017,"Between","1_logger","F:M"
"216973","218340","216973:218340",2017,"Within","1_logger","M:M"
"203046","218271","203046:218271",2017,"Between","1_logger","F:M"
"203847","204510","203847:204510",2017,"Within","2_logger","M:M"
"203123","218271","203123:218271",2017,"Within","2_logger","M:M"
"202177","204510","202177:204510",2017,"Between","2_logger","F:M"
"203046","203123","203046:203123",2017,"Between","1_logger","F:M"
"204510","216968","204510:216968",2017,"Between","2_logger","M:M"
"202000","204390","202000:204390",2017,"Between","2_logger","F:F"
"202000","219673","202000:219673",2017,"Between","2_logger","F:M"
"203828","204510","203828:204510",2017,"Between","1_logger","F:M"
"204510","218507","204510:218507",2017,"Between","2_logger","F:M"
"204510","217145","204510:217145",2017,"Between","2_logger","F:M"
"216956","219673","216956:219673",2017,"Between","2_logger","F:M"
"202119","217145","202119:217145",2017,"Between","2_logger","F:F"
"216968","219247","216968:219247",2017,"Between","1_logger","M:M"
"216893","216968","216893:216968",2017,"Between","1_logger","M:M"
"202000","217579","202000:217579",2017,"Between","2_logger","F:F"
"202000","216893","202000:216893",2017,"Between","1_logger","F:M"
"216956","216968","216956:216968",2017,"Between","2_logger","F:M"
"202523","204390","202523:204390",2017,"Within","1_logger","F:M"
"216973","217888","216973:217888",2017,"Within","1_logger","M:M"
"202523","217579","202523:217579",2017,"Within","1_logger","F:M"
"203478","216893","203478:216893",2017,"Between","1_logger","F:M"
"216893","216956","216893:216956",2017,"Between","1_logger","F:M"
"203046","203581","203046:203581",2017,"Between","1_logger","F:M"
"204399","218271","204399:218271",2017,"Between","2_logger","F:M"
"204399","204510","204399:204510",2017,"Between","2_logger","F:M"
"204510","218271","204510:218271",2017,"Within","2_logger","M:M"
"204510","216956","204510:216956",2017,"Between","2_logger","F:M"
"203847","217888","203847:217888",2017,"Within","2_logger","M:M"
"202523","216968","202523:216968",2017,"Within","1_logger","M:M"
"202000","219204","202000:219204",2017,"Between","2_logger","F:M"
"216956","219204","216956:219204",2017,"Between","2_logger","F:M"
"202523","216956","202523:216956",2017,"Between","1_logger","F:M"
