X,Y,R.mantel,P.mantel,R.cosine,P.cosine,P.transform,P.adjust,class.w
0,5,0.996343059774421,1,0.996495900481117,1,0,0,tomato
0,10,0.98522571407631,1,0.985806391121616,1,0,0,tomato
0,15,0.83418957036523,0.12,0.840275543012488,0.07,0.07,0.0777777777777778,white
0,20,0.827810561630176,0.54,0.833982916159436,0.49,0.49,0.49,white
0,25,0.84134310150275,0.9,0.847334189639889,0.9,0.1,0.105527638190955,white
0,30,0.823463978930801,0.91,0.829700581085807,0.91,0.09,0.0974226804123711,white
0,35,0.807031016088948,0.86,0.813480419869202,0.85,0.15,0.155172413793103,white
0,40,0.803826589879109,0.9,0.810280921218636,0.9,0.1,0.105527638190955,white
0,45,0.782121020987968,0.96,0.788525955969492,0.96,0.04,0.0491228070175439,tomato
0,50,0.771094288108238,0.96,0.777483308181198,0.95,0.05,0.0583333333333334,white
0,55,0.766835784999102,0.98,0.773263865190202,0.98,0.02,0.0270967741935484,tomato
0,60,0.762244956371428,0.97,0.768707879361183,0.97,0.03,0.0384146341463415,tomato
0,65,0.762201028729302,0.96,0.768618870032803,0.96,0.04,0.0491228070175439,tomato
0,70,0.757726990359892,0.98,0.76423894745225,0.98,0.02,0.0270967741935484,tomato
0,75,0.756698420783141,1,0.763206145682366,1,0,0,tomato
0,80,0.739030302418137,0.96,0.745728147257072,0.96,0.04,0.0491228070175439,tomato
0,85,0.738273653624765,0.96,0.744942048796794,0.97,0.03,0.0384146341463415,tomato
0,90,0.72465750121075,1,0.731347839869421,1,0,0,tomato
0,95,0.730208839465308,0.99,0.736821051184992,0.99,0.01,0.0148936170212766,tomato
0,100,0.741350035415663,1,0.747748137744522,1,0,0,tomato
5,10,0.99159483130194,1,0.991939605892255,1,0,0,tomato
5,15,0.850766482180982,0.08,0.856190236215713,0.07,0.07,0.0777777777777778,white
5,20,0.846768075901097,0.27,0.852199334727534,0.24,0.24,0.245853658536585,white
5,25,0.865406843493221,0.91,0.870415896291829,0.91,0.09,0.0974226804123711,white
5,30,0.851431093710705,0.91,0.856584615720513,0.91,0.09,0.0974226804123711,white
5,35,0.837635795822516,0.9,0.842943540249396,0.9,0.1,0.105527638190955,white
