phase1,phase2,r_mean,p_value,class
day_short,day_short,NA,NA,white
day_short,day_long,0.898274234974646,0.01,tomato
day_short,night_short,0.950975882151349,0.08,white
day_short,night_long,0.773140801664534,0.57,white
day_long,day_long,NA,NA,white
day_long,night_short,0.875253946489343,0,tomato
day_long,night_long,0.665341797537697,0.27,white
night_short,night_short,NA,NA,white
night_short,night_long,0.770997968544871,0.37,white
night_long,night_long,NA,NA,white
day_short,day_short,NA,NA,white
day_long,day_short,0.898274234974646,0.01,tomato
night_short,day_short,0.950975882151349,0.08,white
night_long,day_short,0.773140801664534,0.57,white
day_long,day_long,NA,NA,white
night_short,day_long,0.875253946489343,0,tomato
night_long,day_long,0.665341797537697,0.27,white
night_short,night_short,NA,NA,white
night_long,night_short,0.770997968544871,0.37,white
night_long,night_long,NA,NA,white
